2 (517, 170) 
1 (371(IMAX)) 
4 (140, 140, 158, 158) 
5 (530, 50, 63, 110, 98) 
4 (283, 283, 251, 251) 
2 (450, 210) 
3 (600, 70, 60) 
8 (98, 92, 146, 254, 21, 98, 121, 98) 
2
5 (170, 185, 152, 112, 45(vip)) 
5 (196, 185, 180, 170, 88) 
10 (176, 97, 98, 81, 72, 71, 92, 92, 92, 92) 
5 (153, 154, 130, 130, 130) 
3 (65(vip), 65(vip), 50(vip)) 
1 (102) 
3 (315, 118, 118) 
3 (520, 132, 124) 
1 (104) 
1 (100) 
1 (60) 
4 (228, 233, 177, 177) 
1 (120) 
2 (90, ?) 
3 (147, 147, 147) 
9 (194, 194, 32(vip), 272, 203, 232, 33(vip), 202, 272) 
8 (130, 117, 133, 117, 117, 117, 117, 18(vip)) 
4 (70, 140, 140, 140) 
4 (168, 206, 206, 168) 
6 (152, 130, 132, 152, 116, 130) 
8 (127, 127, 127, 249, 249, 127, 127, 127) 
4 (123, 168, 138, 94) 
10 (193, 70, 249, 249, 126, 312, 181, 24(vip), 148, 249) 
8 (122, 122, 122, 122, 122, 122, 122, 122) 
17 (4000) 
1 (24) 
5 (120, 74, 74, 156, 154) 
3 (70, 16(vip), 20) 
7 (1521) 
9 (1591) 
14 (2792) 
4 (181, 181, 151, 113) 
4 (117, 116, 116, 38) 
4 (181, 181, 151, 113) 
4 (114, 114, 123, 105) 
2
24
3 (574,183,181) 
9 (132, 172, 281, 204, 62, 162, 309, 309, 309) 
14 (461, 143, 147, 220, 96, 96, 96, 34, 95, 110, 155, 155, 155, 45) 
6 (382, 233, 194, 93, 195, 235) 
6 (224, 139, 110, 139, 110, 110) 
2 (656, 42) 
1 (49) 
2 (312, 100) 
17 (397) 
11
1 (1095) 
2 (304, 304) 
1 (129) 
3 (425, 130, 130) 
1 (2057) 
5 (228, 228, 140, 140, 140) 
4 (237, 237, 190, 145) 
4 (368, 368, 54, 54) 
2 (204, 96) 
2
2 (550, 45)
4 (318, 194, 81, 81) 
9 (286, 200, 200, 172, 160, 158, 120, 92, 26) 
9 (195, 202, 97, 97, 97, 97, 97, 97, 202) 
6 (160, 146, 110, 200, 125, 136) 
8 (144, 160, 144, 160, 144, 146, 336, 270) 
(залы №: 1,2,3,5,6,7,9, Релакс) 
5 (609, 50, 50, 37, 22) 
1 (604) 
1 (128) 
1 (20)
1 (20) 
1 (20) 
1 (20) 
